hash, user, site_admin, author_date, empty, forward_engineering, corrective_engineering, reengineering, uncategorized, management, empty_percent, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent, classification
4f6ed712301a9fbc9eead702ca60c0e965cc60fd,100ideas,false,2015-03-17T23:54:13Z,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,Uncategorized
c6f31cc3caf51cf5b60da3ec3efebdcf3dd45104,davereid,false,2013-12-20T03:32:36Z,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Corrective Engineering
acf594f561bcdeb2e0327e5b5172010e0a540b1a,praseodym,false,2015-06-10T10:27:01Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
a45194344f33c9dd6425d1365158d3a469237cd2,bartolsthoorn,false,2013-07-21T22:14:57Z,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Reengineering
9b788ba946f45b2d01a087b7cf268a1c92922a78,mizzy,false,2013-06-10T06:34:15Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
2b24ad8947cd36de8fb16dfc478d580fa1f7fa3b,searls,false,2014-01-15T14:41:54Z,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
52c904334a81772be77414a6c8390b2c8092f6da,sdimkov,false,2015-08-17T21:46:18Z,0.0,6.0,21.0,7.0,2.0,9.0,0.0,0.13333333333333333,0.4666666666666667,0.15555555555555556,0.044444444444444446,0.2,Management
ec2645a2f5b4d891d5670beb652c8852db53ce8a,huafu,false,2014-08-12T02:02:52Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
0c3ec03be90bcc1b35fc041f2e2403f06ffc66ad,lornajane,false,2017-07-19T09:13:47Z,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Uncategorized
332ca191503503182d883dfa35f6c2179220cec8,tspascoal,false,2014-08-29T17:54:31Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
fe20d71768f964276dcc33ec8b4f1588f2be9ace,felixdv,false,2013-08-03T02:43:34Z,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Forward Engineering
