id, state, user, employee_open, user_closed, employee_merged, days_opened, number_of_comments, days_between_first_and_last_comment, days_first_comment_after_creation, days_last_comment_before_closed
1111,closed,technicalpickles,true,technicalpickles,false,11,0,null,null,null
1114,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
1115,closed,pchaigno,false,null,false,590,0,null,null,null
1116,closed,jackmawer,false,technicalpickles,false,7,0,null,null,null
1119,closed,sgerrand,false,technicalpickles,false,1,0,null,null,null
1120,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
1121,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
1122,closed,shaunkawano,false,technicalpickles,false,0,0,null,null,null
1123,closed,xt0rted,false,technicalpickles,false,32,0,null,null,null
1127,closed,jtc9921,false,null,false,0,0,null,null,null
1128,closed,kossnocorp,false,null,false,555,0,null,null,null
113,closed,unixcharles,false,atmos,false,0,0,null,null,null
1130,closed,pra85,false,technicalpickles,false,21,0,null,null,null
1133,closed,technicalpickles,true,technicalpickles,false,8,0,null,null,null
1134,closed,ajacksified,false,null,false,540,0,null,null,null
1135,closed,MonicaG,false,technicalpickles,false,2,0,null,null,null
1136,closed,MattHodge,false,null,false,546,2,0,0,546
1142,closed,tuliomonteazul,false,null,false,433,1,0,413,19
1147,closed,KasperDeng,false,technicalpickles,false,49,0,null,null,null
1148,closed,akameco,false,technicalpickles,false,49,0,null,null,null
1149,closed,loafoe,false,technicalpickles,false,1,0,null,null,null
1150,closed,gasolin,false,bkeepers,false,406,0,null,null,null
1151,closed,pchaigno,false,bkeepers,false,406,5,0,0,404
1154,closed,twellspring,false,null,false,531,1,0,434,97
1155,closed,chittunoo,false,null,false,426,2,2,423,0
1161,closed,twellspring,false,bkeepers,false,397,2,119,0,278
1162,closed,gasolin,false,null,false,420,0,null,null,null
1164,closed,vinhlh,false,null,false,420,3,0,0,420
1166,closed,MrSaints,false,technicalpickles,false,24,0,null,null,null
117,closed,jasford,false,atmos,false,0,0,null,null,null
1171,closed,waydelyle,false,null,false,21,0,null,null,null
1174,closed,tanem,false,null,false,560,0,null,null,null
118,closed,sgriegoliet,false,null,false,0,0,null,null,null
1185,closed,technicalpickles,true,technicalpickles,false,0,0,null,null,null
1188,closed,miketwo,false,null,false,99,0,null,null,null
1189,closed,ouadie-lahdioui,false,bhuga,false,0,0,null,null,null
1196,closed,MonicaG,false,null,false,337,0,null,null,null
1197,closed,axeltalmet,false,null,false,0,0,null,null,null
12,closed,tmm1,false,atmos,false,21,0,null,null,null
120,closed,sujal,false,null,false,12,0,null,null,null
1200,closed,ivadim,false,null,false,333,0,null,null,null
1202,closed,scboucher,false,null,false,146,0,null,null,null
1203,closed,mttrs,false,null,false,324,0,null,null,null
1206,closed,NiklasMerz,false,null,false,0,0,null,null,null
1209,closed,denisvm,false,bkeepers,false,327,0,null,null,null
121,closed,matjaz,false,null,false,13,0,null,null,null
1214,closed,tas50,false,bkeepers,false,289,0,null,null,null
1215,closed,ouadie-lahdioui,false,null,false,297,0,null,null,null
1221,closed,alekzonder,false,null,false,473,0,null,null,null
1222,closed,jlobos,false,null,false,280,0,null,null,null
1225,closed,devashishmamgain,false,null,false,266,0,null,null,null
1228,closed,jonfreedman,false,null,false,272,0,null,null,null
123,closed,unixcharles,false,null,false,1,3,0,0,0
1239,closed,timkinnane,false,null,false,243,0,null,null,null
124,closed,russelldavis,false,tombell,true,13,2,6,0,6
1240,closed,notpeter,false,bkeepers,false,219,0,null,null,null
1255,closed,ksatirli,false,bkeepers,false,184,2,0,3,181
1256,closed,khutchi,false,null,false,182,0,null,null,null
126,closed,tombell,false,tombell,true,4,0,null,null,null
1263,closed,MichaNice,false,null,false,2,0,null,null,null
